"","numéro","n_spp","n_WE","n_WNE","n_HE","n_HNE","n_Med","n_edible","n_woody","dom_group","Concatenation","country","latitude","longitude","farm type","Intervention_reclass","exp_type","has_WNE","has_WE","has_HE"
"640","1689",3,0,1,2,0,0,2,1,"HE","WNE, HE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"641","169",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"642","1690",2,1,1,0,0,0,1,2,"WE","WNE, WE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"643","1691",2,1,1,0,0,0,1,2,"WE","WNE, WE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"644","1692",3,0,1,2,0,0,2,1,"HE","WNE, HE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"645","1693",2,1,1,0,0,0,1,2,"WE","WNE, WE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"646","1694",2,1,1,0,0,0,1,2,"WE","WNE, WE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"647","1695",3,0,1,2,0,0,2,1,"HE","WNE, HE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"648","1696",2,1,1,0,0,0,1,2,"WE","WNE, WE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"649","1697",2,1,1,0,0,0,1,2,"WE","WNE, WE","Panama","8°54'21,000N","78°20'01,000W","experimental site","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
"650","17",3,1,0,2,0,0,3,1,"HE","HE, WE","India","17°20'00,000N","78°36'00,000E","experimental site","Alley cropping","Edible only",FALSE,TRUE,TRUE
"651","170",9,0,1,6,2,0,6,1,"HE","HNE, WNE, HE","USA","33°57'00,000N","83°19'00,000W","experimental site","Alley cropping","WNE + HE",TRUE,FALSE,TRUE
"652","1700",2,1,1,0,0,0,1,2,"WE","WNE, WE","Senegal","14°45'00,000N","16°51'00,000W","working farm","Alley cropping","WNE + WE",TRUE,TRUE,FALSE
