id,source_id,intervention_by_complexity,intervention_by_richness,Number_Total,lat_map,lon_map,n_id_complexity,n_id_richness
336,5102,Very simple,2,2,-25.105278,-50.043889,10,10
337,5303,Very simple,2,2,-20.750000,-41.783333,8,8
338,5384,Very simple,2,2,31.016667,115.883333,2,2
342,5729,Very simple,2,2,31.683333,103.883333,2,2
343,5767,Very simple,2,2,73.616667,34.333333,2,2
344,5790,Very simple,2,2,39.848333,-4.467222,4,4
345,5795,Very simple,2,2,-15.289011,-39.060956,28,28
347,5959,Very simple,2,2,26.605170,30.240135,1,1
348,5973,Very simple,2,2,-8.017115,113.965382,8,8
349,6020,Very simple,2,2,49.616667,6.533333,8,8
350,6114,Simple,2,2,6.610278,-0.969444,6,6
351,6253,Very simple,2,2,31.683333,103.883333,4,4
352,6339,Simple,2,2,8.491667,39.341667,12,12
354,6486,Very simple,2,2,-33.824358,18.922050,1,1
356,6517,Simple,2,2,30.813117,77.124333,9,9
358,6639,Very simple,2,2,-35.200000,-71.100000,2,2
361,6738,Very simple,2,2,32.600000,51.341667,6,6
365,6920,Very simple,2,2,50.916667,4.900000,5,5
366,6964,Very simple,2,2,43.583333,3.750000,2,2
367,7091,Very simple,2,2,38.073255,104.691139,3,3
368,7351,Very simple,2,2,25.450000,78.583333,12,12
369,7398,Very simple,2,2,28.916667,-111.550000,6,6
370,7409,Very simple,2,2,6.750000,80.250000,6,6
372,7412,Simple,2,2,44.033333,4.150000,1,1
373,7418,Very simple,2,2,6.000000,-1.750000,3,3
374,7462,Very simple,2,2,-18.927001,29.717830,6,6
376,7474,Very simple,2,2,-11.524630,-54.355207,8,8
377,7480,Very simple,2,2,8.033333,80.000000,8,8
378,7970,Very simple,2,2,19.450000,-96.950000,2,2
381,7982,Very simple,2,2,30.716667,76.850000,9,9
386,8538,Very simple,2,2,8.033333,80.000000,4,4
387,8631,Very simple,2,2,28.916667,-111.550000,6,6
389,9036,Very simple,2,2,30.900000,75.800000,4,4
392,9587,Very simple,2,2,28.991667,79.458333,4,4
393,295,Very simple,2,2,38.820809,-96.331617,2,2
395,3045,Very simple,2,2,41.193056,114.855556,2,2
