"","New ID","NB_sp","numéro","farm type","Design","Scale","Concatenation","Categorie","Concatenation_C","Categorie_C","Categorie_C2","Alim","medicinal","other","woody","prop_woody","shrub","climber","prop_shrub","prop_climber","Annual2","Prop_annual","Woody_evergreen","Prop_woody_evergreen","N_Fixing","Prop_N_fixing","Woody_hort","Prop_Woody_hort","Non_Woody_hort","Prop_Non_Woody_hort","EN_VU_NT_CR","Prop_EN_VU_NT_CR","Prop_Insects","insects","Wild.x","Prop_wild.x","NB_strates","mean_Height","max_Height","Human_trait","total_density","Sum_dens","Wild.y","Prop_wild.y","Age_max_tree"
"24","2182",3,25,"experimental site","RCBD","Field","H_Herb, H_Wood","(NH_Herb), H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",3,0,1,1,0.333333333333333,0,1,0,0.333333333333333,2,0.666666666666667,1,0.333333333333333,2,0.666666666666667,1,0.333333333333333,2,0.666666666666667,0,0,0.666666666666667,2,1,0.333333333333333,2,6.33333333333333,10,"Yes","NA",NA,1,0.333333333333333,1
"25","2182",3,26,"experimental site","RCBD","Field","H_Herb, H_Wood","(NH_Herb), H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",3,0,1,1,0.333333333333333,0,1,0,0.333333333333333,2,0.666666666666667,1,0.333333333333333,2,0.666666666666667,1,0.333333333333333,2,0.666666666666667,0,0,0.666666666666667,2,1,0.333333333333333,2,6.33333333333333,10,"Yes","NA",NA,1,0.333333333333333,1
"26","2182",3,27,"experimental site","RCBD","Field","H_Herb, H_Wood","(NH_Herb), H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",3,0,1,1,0.333333333333333,0,1,0,0.333333333333333,2,0.666666666666667,1,0.333333333333333,2,0.666666666666667,1,0.333333333333333,2,0.666666666666667,0,0,0.666666666666667,2,1,0.333333333333333,2,6.33333333333333,10,"Yes","NA",NA,1,0.333333333333333,1
"27","2163",3,28,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","625",625,2,0.666666666666667,NA
"28","2163",3,29,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","819",809,2,0.666666666666667,NA
"29","2163",3,30,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","903",903,2,0.666666666666667,NA
"30","2163",3,31,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","439",439,2,0.666666666666667,NA
"31","2163",3,32,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","347",347,2,0.666666666666667,NA
"32","2163",3,33,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","1180",1180,2,0.666666666666667,NA
"33","2163",3,34,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","NH_Wood","NH_Wood","NH_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","625",625,2,0.666666666666667,NA
"34","2163",3,35,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","NH_Wood","NH_Wood","NH_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","819",809,2,0.666666666666667,NA
"35","2163",3,36,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","NH_Wood","NH_Wood","NH_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","903",903,2,0.666666666666667,NA
"36","2163",3,37,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","NH_Wood","NH_Wood","NH_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","439",439,2,0.666666666666667,NA
"37","2163",3,38,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","NH_Wood","NH_Wood","NH_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","347",347,2,0.666666666666667,NA
"38","2163",3,39,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","NH_Wood","NH_Wood","NH_Wood",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","1180",1180,2,0.666666666666667,NA
"39","2163",3,40,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","625",625,2,0.666666666666667,NA
"40","2163",3,41,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","819",809,2,0.666666666666667,NA
"41","2163",3,42,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","903",903,2,0.666666666666667,NA
"42","2163",3,43,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","439",439,2,0.666666666666667,NA
"43","2163",3,44,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","347",347,2,0.666666666666667,NA
"44","2163",3,45,"working farm",NA,"Field","NH_Wood, H_Herb, H_Wood","(NH_Herb), NH_Wood, H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,1,1,2,0.666666666666667,0,0,0,0,0,0,1,0.5,0,0,1,0.333333333333333,1,0.333333333333333,0,0,0.333333333333333,1,2,0.666666666666667,3,14,30,"No","1180",1180,2,0.666666666666667,NA
"45","2162",2,46,"experimental site","RCBD","Field","H_Herb, H_Wood","(NH_Herb), H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,0,1,1,0.5,0,0,0,0,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0,0,0.5,1,1,0.5,2,6,10,"No","NA",NA,1,0.5,NA
"46","2162",2,47,"experimental site","RCBD","Field","H_Herb, H_Wood","(NH_Herb), H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,0,1,1,0.5,0,0,0,0,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0,0,0.5,1,1,0.5,2,6,10,"Yes","NA",NA,1,0.5,NA
"47","2162",2,48,"experimental site","RCBD","Field","H_Herb, H_Wood","(NH_Herb), H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,0,1,1,0.5,0,0,0,0,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0,0,0.5,1,1,0.5,2,6,10,"No","NA",NA,1,0.5,NA
"48","2162",2,49,"experimental site","RCBD","Field","H_Herb, H_Wood","(NH_Herb), H_Herb, H_Wood","H_Herb","H_Herb","H_Herb",2,0,1,1,0.5,0,0,0,0,1,0.5,1,0.5,1,0.5,1,0.5,1,0.5,0,0,0.5,1,1,0.5,2,6,10,"Yes","NA",NA,1,0.5,NA
"49","2162",2,50,"experimental site","RCBD","Field","H_Wood","(NH_Herb), H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,0,1,2,1,1,0,0.5,0,0,0,1,0.5,1,0.5,2,1,0,0,0,0,1,2,1,0.5,2,6.5,10,"Yes","NA",NA,1,0.5,NA
"50","2162",2,51,"experimental site","RCBD","Field","H_Wood","(NH_Herb), H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,0,1,2,1,1,0,0.5,0,0,0,1,0.5,1,0.5,2,1,0,0,0,0,1,2,1,0.5,2,6.5,10,"Yes","NA",NA,1,0.5,NA
"51","2162",2,52,"experimental site","RCBD","Field","H_Wood","(NH_Herb), H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,0,1,2,1,1,0,0.5,0,0,0,1,0.5,1,0.5,2,1,0,0,0,0,1,2,1,0.5,2,6.5,10,"Yes","NA",NA,1,0.5,NA
"52","2162",2,53,"experimental site","RCBD","Field","H_Wood","(NH_Herb), H_Wood","H_Wood","(NH_Herb), H_Wood","H_Wood",2,0,1,2,1,1,0,0.5,0,0,0,1,0.5,1,0.5,2,1,0,0,0,0,1,2,1,0.5,2,6.5,10,"Yes","NA",NA,1,0.5,NA
